"Run","Store","Date","Weekday","Predicted_Customers","Actual_Customers"
9,"Richmond",2014-03-25,"terça-feira",39,46
9,"Richmond",2014-03-26,"quarta-feira",42,47
9,"Richmond",2014-03-27,"quinta-feira",44,54
9,"Richmond",2014-03-28,"sexta-feira",56,69
9,"Richmond",2014-03-29,"sábado",83,98
10,"Richmond",2014-03-30,"domingo",88,68
10,"Richmond",2014-03-31,"segunda-feira",41,50
10,"Richmond",2014-04-01,"terça-feira",42,39
10,"Richmond",2014-04-02,"quarta-feira",43,46
10,"Richmond",2014-04-03,"quinta-feira",45,43
10,"Richmond",2014-04-04,"sexta-feira",58,55
10,"Richmond",2014-04-05,"sábado",81,94
11,"Richmond",2014-04-06,"domingo",69,75
11,"Richmond",2014-04-07,"segunda-feira",43,39
11,"Richmond",2014-04-08,"terça-feira",41,43
11,"Richmond",2014-04-09,"quarta-feira",43,43
11,"Richmond",2014-04-10,"quinta-feira",49,44
11,"Richmond",2014-04-11,"sexta-feira",63,64
11,"Richmond",2014-04-12,"sábado",89,99
12,"Richmond",2014-04-13,"domingo",71,71
12,"Richmond",2014-04-14,"segunda-feira",43,47
12,"Richmond",2014-04-15,"terça-feira",42,56
12,"Richmond",2014-04-16,"quarta-feira",42,52
12,"Richmond",2014-04-17,"quinta-feira",46,64
12,"Richmond",2014-04-18,"sexta-feira",65,98
12,"Richmond",2014-04-19,"sábado",100,115
13,"Richmond",2014-04-20,"domingo",37,0
13,"Richmond",2014-04-21,"segunda-feira",45,50
13,"Richmond",2014-04-22,"terça-feira",46,50
13,"Richmond",2014-04-23,"quarta-feira",46,47
13,"Richmond",2014-04-24,"quinta-feira",54,61
13,"Richmond",2014-04-25,"sexta-feira",66,67
13,"Richmond",2014-04-26,"sábado",102,103
14,"Richmond",2014-04-27,"domingo",72,67
14,"Richmond",2014-04-28,"segunda-feira",46,42
14,"Richmond",2014-04-29,"terça-feira",48,32
14,"Richmond",2014-04-30,"quarta-feira",49,44
14,"Richmond",2014-05-01,"quinta-feira",55,44
14,"Richmond",2014-05-02,"sexta-feira",66,61
14,"Richmond",2014-05-03,"sábado",91,90
15,"Richmond",2014-05-04,"domingo",64,64
15,"Richmond",2014-05-05,"segunda-feira",44,35
15,"Richmond",2014-05-06,"terça-feira",41,33
15,"Richmond",2014-05-07,"quarta-feira",41,36
15,"Richmond",2014-05-08,"quinta-feira",47,45
15,"Richmond",2014-05-09,"sexta-feira",67,60
15,"Richmond",2014-05-10,"sábado",97,92
16,"Richmond",2014-05-11,"domingo",63,76
16,"Richmond",2014-05-12,"segunda-feira",51,39
16,"Richmond",2014-05-13,"terça-feira",42,40
16,"Richmond",2014-05-14,"quarta-feira",42,41
16,"Richmond",2014-05-15,"quinta-feira",46,53
16,"Richmond",2014-05-16,"sexta-feira",61,63
16,"Richmond",2014-05-17,"sábado",90,89
17,"Richmond",2014-05-18,"domingo",69,70
17,"Richmond",2014-05-19,"segunda-feira",39,47
17,"Richmond",2014-05-20,"terça-feira",39,46
17,"Richmond",2014-05-21,"quarta-feira",41,52
17,"Richmond",2014-05-22,"quinta-feira",49,53
17,"Richmond",2014-05-23,"sexta-feira",62,69
17,"Richmond",2014-05-24,"sábado",378,373
18,"Richmond",2014-05-25,"domingo",301,304
18,"Richmond",2014-05-26,"segunda-feira",258,287
18,"Richmond",2014-05-27,"terça-feira",51,37
18,"Richmond",2014-05-28,"quarta-feira",46,49
18,"Richmond",2014-05-29,"quinta-feira",48,41
18,"Richmond",2014-05-30,"sexta-feira",63,52
18,"Richmond",2014-05-31,"sábado",93,83
19,"Richmond",2014-06-01,"domingo",96,62
19,"Richmond",2014-06-02,"segunda-feira",53,40
19,"Richmond",2014-06-03,"terça-feira",44,48
19,"Richmond",2014-06-04,"quarta-feira",45,46
19,"Richmond",2014-06-05,"quinta-feira",49,45
19,"Richmond",2014-06-06,"sexta-feira",65,50
19,"Richmond",2014-06-07,"sábado",102,77
20,"Richmond",2014-06-08,"domingo",71,64
20,"Richmond",2014-06-09,"segunda-feira",43,40
20,"Richmond",2014-06-10,"terça-feira",43,42
20,"Richmond",2014-06-11,"quarta-feira",44,46
20,"Richmond",2014-06-12,"quinta-feira",45,42
20,"Richmond",2014-06-13,"sexta-feira",55,58
20,"Richmond",2014-06-14,"sábado",80,82
