"Run","Store","Date","Weekday","Predicted_Customers","Actual_Customers"
14,"Lancaster",2014-04-28,"segunda-feira",90,79
14,"Lancaster",2014-04-29,"terça-feira",96,61
14,"Lancaster",2014-04-30,"quarta-feira",96,83
14,"Lancaster",2014-05-01,"quinta-feira",112,83
14,"Lancaster",2014-05-02,"sexta-feira",134,116
14,"Lancaster",2014-05-03,"sábado",193,169
15,"Lancaster",2014-05-04,"domingo",123,121
15,"Lancaster",2014-05-05,"segunda-feira",85,66
15,"Lancaster",2014-05-06,"terça-feira",81,63
15,"Lancaster",2014-05-07,"quarta-feira",79,68
15,"Lancaster",2014-05-08,"quinta-feira",96,85
15,"Lancaster",2014-05-09,"sexta-feira",130,113
15,"Lancaster",2014-05-10,"sábado",189,173
16,"Lancaster",2014-05-11,"domingo",127,142
16,"Lancaster",2014-05-12,"segunda-feira",96,72
16,"Lancaster",2014-05-13,"terça-feira",84,75
16,"Lancaster",2014-05-14,"quarta-feira",87,77
16,"Lancaster",2014-05-15,"quinta-feira",93,100
16,"Lancaster",2014-05-16,"sexta-feira",116,117
16,"Lancaster",2014-05-17,"sábado",170,166
17,"Lancaster",2014-05-18,"domingo",136,131
17,"Lancaster",2014-05-19,"segunda-feira",78,87
17,"Lancaster",2014-05-20,"terça-feira",79,86
17,"Lancaster",2014-05-21,"quarta-feira",80,97
17,"Lancaster",2014-05-22,"quinta-feira",95,99
17,"Lancaster",2014-05-23,"sexta-feira",119,128
17,"Lancaster",2014-05-24,"sábado",751,691
18,"Lancaster",2014-05-25,"domingo",652,563
18,"Lancaster",2014-05-26,"segunda-feira",597,530
18,"Lancaster",2014-05-27,"terça-feira",113,69
18,"Lancaster",2014-05-28,"quarta-feira",90,91
18,"Lancaster",2014-05-29,"quinta-feira",96,76
18,"Lancaster",2014-05-30,"sexta-feira",120,95
18,"Lancaster",2014-05-31,"sábado",171,154
19,"Lancaster",2014-06-01,"domingo",172,115
19,"Lancaster",2014-06-02,"segunda-feira",93,73
19,"Lancaster",2014-06-03,"terça-feira",85,88
19,"Lancaster",2014-06-04,"quarta-feira",88,85
19,"Lancaster",2014-06-05,"quinta-feira",94,83
19,"Lancaster",2014-06-06,"sexta-feira",126,92
19,"Lancaster",2014-06-07,"sábado",185,141
20,"Lancaster",2014-06-08,"domingo",133,116
20,"Lancaster",2014-06-09,"segunda-feira",84,72
20,"Lancaster",2014-06-10,"terça-feira",83,77
20,"Lancaster",2014-06-11,"quarta-feira",84,84
20,"Lancaster",2014-06-12,"quinta-feira",87,77
20,"Lancaster",2014-06-13,"sexta-feira",98,106
20,"Lancaster",2014-06-14,"sábado",147,149
